Lead id,Job title,Company,Industry,Location,Company size,Campaign,Channel,Contacted at,Accepted,Replied,Reply label
lead_0021,Marketing Manager,Company 21,Software Development,"London, England, United Kingdom",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-28,yes,,
lead_0022,VP Marketing,Company 22,Software Development,"Toronto, Canada",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-21,yes,,
lead_0023,Sales Manager,Company 23,Marketing Services,"New York, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-17,no,,
lead_0024,Partnerships Manager,Company 24,"Technology, Information and Internet","Lyon, France",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-15,no,,
lead_0025,GTM Engineer,Company 25,"Technology, Information and Internet","London, England, United Kingdom",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-16,yes,,
lead_0026,Account Executive,Company 26,Financial Services,"Lisbon, Portugal",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-12,no,,
lead_0027,Business Developer,Company 27,Marketing Services,"Lisbon, Portugal",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-14,no,,
lead_0028,Directrice Marketing,Company 28,IT Services and IT Consulting,"Berlin, Germany",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-05,yes,,
lead_0029,Sales Manager,Company 29,Software Development,"Lisbon, Portugal",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-12,yes,,
lead_0030,Chief Revenue Officer,Company 30,Business Consulting and Services,"London, England, United Kingdom",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-24,no,,
lead_0031,Partnerships Manager,Company 31,Software Development,"New York, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-17,yes,,
lead_0032,Directrice Marketing,Company 32,Marketing Services,"Amsterdam, Netherlands",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-22,no,,
lead_0033,Marketing Manager,Company 33,Retail,"Toronto, Canada",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-17,no,,
lead_0034,Head of RevOps,Company 34,Marketing Services,"Berlin, Germany",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-16,no,yes,Interested
lead_0035,Head of RevOps,Company 35,"Technology, Information and Internet","Toronto, Canada",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-08,yes,yes,Meeting booked
lead_0036,Chief Revenue Officer,Company 36,Manufacturing,"Lisbon, Portugal",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-20,no,,
lead_0037,Partnerships Manager,Company 37,"Technology, Information and Internet","Lisbon, Portugal",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-08,no,,
lead_0038,Account Executive,Company 38,Manufacturing,"Lisbon, Portugal",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-14,yes,,
lead_0039,Partnerships Manager,Company 39,"Technology, Information and Internet","Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-25,yes,,
lead_0040,Chief Revenue Officer,Company 40,Retail,"New York, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-04,yes,,
lead_0041,CMO,Company 41,"Technology, Information and Internet","Madrid, Spain",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-14,yes,,
lead_0042,CEO,Company 42,"Technology, Information and Internet","Paris, Île-de-France, France",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-11,no,,
lead_0043,Chief Revenue Officer,Company 43,Manufacturing,"London, England, United Kingdom",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-09,yes,,
lead_0044,Managing Partner,Company 44,Software Development,"Austin, Texas, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-05,no,,
lead_0045,Sales Manager,Company 45,Software Development,"Berlin, Germany",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-03,yes,yes,Meeting booked
lead_0046,Sales Director,Company 46,Software Development,"London, England, United Kingdom",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-01,yes,,
lead_0047,Partnerships Manager,Company 47,Software Development,"New York, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-06,yes,,
lead_0048,Sales Manager,Company 48,"Technology, Information and Internet","Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-17,no,,
lead_0049,Business Developer,Company 49,Software Development,"Toronto, Canada",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-07,no,,
lead_0050,CMO,Company 50,Marketing Services,"Lisbon, Portugal",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-27,no,,
lead_0051,Partnerships Manager,Company 51,Business Consulting and Services,"New York, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-24,no,,
lead_0052,Account Executive,Company 52,Marketing Services,"London, England, United Kingdom",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-24,no,,
lead_0053,COO,Company 53,Marketing Services,"Austin, Texas, United States",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-08,no,yes,Meeting booked
lead_0054,Chief Revenue Officer,Company 54,"Technology, Information and Internet","Toronto, Canada",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-08,yes,,
lead_0055,VP Sales,Company 55,Software Development,"London, England, United Kingdom",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-09,no,,
lead_0056,Chief Revenue Officer,Company 56,Marketing Services,"Madrid, Spain",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-02,yes,,
lead_0057,Chief Revenue Officer,Company 57,Business Consulting and Services,"Lyon, France",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-25,yes,,
lead_0058,Co-Founder & CEO,Company 58,Financial Services,"Paris, Île-de-France, France",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-17,no,,
lead_0059,Growth Marketer,Company 59,IT Services and IT Consulting,"Paris, Île-de-France, France",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-19,no,,
lead_0060,CEO,Company 60,Software Development,"Amsterdam, Netherlands",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-13,no,,
lead_0061,Responsable Commercial,Company 61,IT Services and IT Consulting,"Austin, Texas, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-15,no,,
lead_0062,SDR,Company 62,Software Development,"London, England, United Kingdom",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-24,no,,
lead_0063,Founder & CEO,Company 63,Marketing Services,"Lisbon, Portugal",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-28,yes,,
lead_0064,Partnerships Manager,Company 64,Financial Services,"New York, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-20,yes,,
lead_0065,Partnerships Manager,Company 65,Software Development,"Paris, Île-de-France, France",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-09,no,yes,Meeting booked
lead_0066,SDR Manager,Company 66,Software Development,"Lisbon, Portugal",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-18,yes,,
lead_0067,Chief Revenue Officer,Company 67,"Technology, Information and Internet","Lisbon, Portugal",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-13,yes,,
lead_0068,Chief Growth Officer,Company 68,Software Development,"Toronto, Canada",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-12,yes,,
lead_0069,Managing Partner,Company 69,Software Development,"New York, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-16,yes,yes,Out of office
lead_0070,Founder,Company 70,Software Development,"Madrid, Spain",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-04,no,yes,Out of office
lead_0071,GTM Engineer,Company 71,Software Development,"Austin, Texas, United States",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-12,yes,,
lead_0072,Chief Revenue Officer,Company 72,Manufacturing,"Paris, Île-de-France, France",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-04,yes,,
lead_0073,Founder,Company 73,Software Development,"Amsterdam, Netherlands",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-25,yes,,
lead_0074,SDR Manager,Company 74,Financial Services,"Toronto, Canada",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-24,yes,,
lead_0075,Head of Growth,Company 75,IT Services and IT Consulting,"Austin, Texas, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-02,no,,
lead_0076,Head of Growth,Company 76,"Technology, Information and Internet","Austin, Texas, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-24,no,,
lead_0077,Co-Founder & CEO,Company 77,Financial Services,"London, England, United Kingdom",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-21,yes,yes,Out of office
lead_0078,Sales Director,Company 78,Software Development,"Madrid, Spain",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-18,yes,yes,Interested
lead_0079,Co-Founder & CEO,Company 79,Software Development,"New York, United States",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-24,no,,
lead_0080,VP Marketing,Company 80,"Technology, Information and Internet","Lisbon, Portugal",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-19,no,yes,Interested
lead_0081,CEO,Company 81,Manufacturing,"Madrid, Spain",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-15,yes,,
lead_0082,Chief Growth Officer,Company 82,"Technology, Information and Internet","Lyon, France",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-01,yes,,
lead_0083,Account Executive,Company 83,Business Consulting and Services,"London, England, United Kingdom",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-05,yes,,
lead_0084,Account Executive,Company 84,IT Services and IT Consulting,"Lisbon, Portugal",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-18,no,yes,Interested
lead_0085,Sales Manager,Company 85,Software Development,"Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-21,yes,,
lead_0086,CEO,Company 86,"Technology, Information and Internet","New York, United States",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-09,yes,,
lead_0087,Head of Growth,Company 87,Business Consulting and Services,"Amsterdam, Netherlands",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-27,no,,
lead_0088,Directrice Marketing,Company 88,Software Development,"Austin, Texas, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-01,yes,,
lead_0089,COO,Company 89,Software Development,"Amsterdam, Netherlands",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-16,yes,,
lead_0090,VP Marketing,Company 90,"Technology, Information and Internet","Austin, Texas, United States",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-28,no,,
lead_0091,Managing Partner,Company 91,Marketing Services,"Lisbon, Portugal",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-09,no,,
lead_0092,Directrice Marketing,Company 92,Manufacturing,"Madrid, Spain",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-02,no,,
lead_0093,CMO,Company 93,Software Development,"Berlin, Germany",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-02,no,yes,Interested
lead_0094,SDR Manager,Company 94,Business Consulting and Services,"Amsterdam, Netherlands",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-06,no,,
lead_0095,COO,Company 95,IT Services and IT Consulting,"Amsterdam, Netherlands",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-15,yes,yes,Meeting booked
lead_0096,Business Developer,Company 96,Software Development,"Madrid, Spain",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-25,no,,
lead_0097,COO,Company 00,IT Services and IT Consulting,"Amsterdam, Netherlands",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-15,yes,,
lead_0098,Chief Revenue Officer,Company 01,"Technology, Information and Internet","Madrid, Spain",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-13,yes,yes,Not now
lead_0099,Partnerships Manager,Company 02,Manufacturing,"Amsterdam, Netherlands",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-11,no,,
lead_0100,Sales Manager,Company 03,IT Services and IT Consulting,"Austin, Texas, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-24,no,,
lead_0101,COO,Company 04,Software Development,"Lisbon, Portugal",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-26,yes,,
lead_0102,CMO,Company 05,"Technology, Information and Internet","Austin, Texas, United States",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-25,yes,yes,Out of office
lead_0103,Sales Manager,Company 06,Financial Services,"New York, United States",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-25,yes,,
lead_0104,Directrice Marketing,Company 07,"Technology, Information and Internet","Madrid, Spain",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-03,yes,yes,Meeting booked
lead_0105,CEO,Company 08,Software Development,"Lyon, France",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-08,no,,
lead_0106,SDR Manager,Company 09,Software Development,"Lyon, France",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-12,yes,,
lead_0107,Co-Founder & CEO,Company 10,Software Development,"Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-07,yes,,
lead_0108,Head of Growth,Company 11,Software Development,"Lisbon, Portugal",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-04,yes,,
lead_0109,GTM Engineer,Company 12,Manufacturing,"Austin, Texas, United States",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-04,yes,,
lead_0110,Founder,Company 13,Software Development,"Berlin, Germany",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-20,yes,,
lead_0111,CEO,Company 14,Financial Services,"Amsterdam, Netherlands",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-02,yes,yes,Meeting booked
lead_0112,Sales Director,Company 15,IT Services and IT Consulting,"Paris, Île-de-France, France",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-14,no,,
lead_0113,Chief Growth Officer,Company 16,Software Development,"Toronto, Canada",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-03,yes,,
lead_0114,CMO,Company 17,"Technology, Information and Internet","Berlin, Germany",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-23,yes,,
lead_0115,SVP Revenue,Company 18,Software Development,"Lyon, France",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-14,yes,,
lead_0116,Sales Manager,Company 19,"Technology, Information and Internet","New York, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-14,no,,
lead_0117,Vice President Growth,Company 20,Retail,"Berlin, Germany",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-01,yes,,
lead_0118,CEO,Company 21,Financial Services,"Toronto, Canada",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-05,yes,yes,Interested
lead_0119,Vice President Growth,Company 22,IT Services and IT Consulting,"Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-27,no,,
lead_0120,Co-Founder & CEO,Company 23,Financial Services,"Madrid, Spain",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-23,no,,
lead_0121,Responsable Commercial,Company 24,Retail,"Madrid, Spain",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-28,yes,,
lead_0122,Founder,Company 25,"Technology, Information and Internet","Berlin, Germany",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-12,yes,yes,Not interested
lead_0123,Business Developer,Company 26,Marketing Services,"Paris, Île-de-France, France",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-27,yes,,
lead_0124,Sales Director,Company 27,Financial Services,"Madrid, Spain",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-19,yes,,
lead_0125,Head of RevOps,Company 28,"Technology, Information and Internet","Paris, Île-de-France, France",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-16,no,,
lead_0126,Partnerships Manager,Company 29,"Technology, Information and Internet","Lisbon, Portugal",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-04,yes,,
lead_0127,CMO,Company 30,"Technology, Information and Internet","Paris, Île-de-France, France",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-21,yes,,
lead_0128,Sales Manager,Company 31,"Technology, Information and Internet","Toronto, Canada",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-21,no,yes,Referral
lead_0129,Founder,Company 32,Business Consulting and Services,"Austin, Texas, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-22,no,,
lead_0130,Marketing Manager,Company 33,Financial Services,"Berlin, Germany",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-20,yes,,
lead_0131,Founder & CEO,Company 34,Business Consulting and Services,"New York, United States",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-09,no,,
lead_0132,Chief Growth Officer,Company 35,Software Development,"Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-11,no,yes,Not interested
lead_0133,CMO,Company 36,Retail,"Toronto, Canada",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-19,no,,
lead_0134,SDR,Company 37,Financial Services,"Amsterdam, Netherlands",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-13,no,,
lead_0135,SVP Revenue,Company 38,Software Development,"Berlin, Germany",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-24,no,,
lead_0136,Founder & CEO,Company 39,Business Consulting and Services,"Amsterdam, Netherlands",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-01,no,,
lead_0137,Head of Sales,Company 40,"Technology, Information and Internet","Amsterdam, Netherlands",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-05,no,,
lead_0138,Chief Revenue Officer,Company 41,Software Development,"Austin, Texas, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-17,yes,yes,Referral
lead_0139,Co-Founder & CEO,Company 42,Financial Services,"Berlin, Germany",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-01,no,,
lead_0140,Sales Director,Company 43,Software Development,"Austin, Texas, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-26,yes,yes,Referral
lead_0141,Head of Sales,Company 44,Financial Services,"Toronto, Canada",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-16,yes,,
lead_0142,Chief Revenue Officer,Company 45,Software Development,"New York, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-02,no,yes,Not interested
lead_0143,SVP Revenue,Company 46,"Technology, Information and Internet","Toronto, Canada",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-21,yes,,
lead_0144,COO,Company 47,Financial Services,"Lisbon, Portugal",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-18,yes,,
lead_0145,CMO,Company 48,IT Services and IT Consulting,"New York, United States",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-09,yes,yes,Interested
lead_0146,Partnerships Manager,Company 49,Software Development,"Madrid, Spain",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-26,no,,
lead_0147,Marketing Manager,Company 50,Business Consulting and Services,"London, England, United Kingdom",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-01,yes,,
lead_0148,GTM Engineer,Company 51,IT Services and IT Consulting,"New York, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-11,no,,
lead_0149,Sales Director,Company 52,Marketing Services,"Paris, Île-de-France, France",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-14,no,,
lead_0150,Partnerships Manager,Company 53,"Technology, Information and Internet","London, England, United Kingdom",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-06,yes,yes,Interested
lead_0151,Account Executive,Company 54,IT Services and IT Consulting,"Paris, Île-de-France, France",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-23,no,yes,Interested
lead_0152,Business Developer,Company 55,Marketing Services,"Toronto, Canada",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-03,no,,
lead_0153,CEO,Company 56,Software Development,"Paris, Île-de-France, France",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-28,no,,
lead_0154,Marketing Manager,Company 57,Financial Services,"Lisbon, Portugal",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-05,yes,,
lead_0155,Managing Partner,Company 58,"Technology, Information and Internet","Paris, Île-de-France, France",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-09,no,yes,Not now
lead_0156,Business Developer,Company 59,Financial Services,"Madrid, Spain",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-14,no,,
lead_0157,Responsable Commercial,Company 60,"Technology, Information and Internet","London, England, United Kingdom",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-27,yes,,
lead_0158,Co-Founder & CEO,Company 61,Marketing Services,"Paris, Île-de-France, France",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-16,yes,,
lead_0159,Growth Marketer,Company 62,Financial Services,"Austin, Texas, United States",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-06,yes,,
lead_0160,Head of Sales,Company 63,Software Development,"London, England, United Kingdom",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-26,no,,
lead_0161,Partnerships Manager,Company 64,"Technology, Information and Internet","Madrid, Spain",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-03,yes,,
lead_0162,Managing Partner,Company 65,Software Development,"Toronto, Canada",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-13,no,,
lead_0163,Chief Revenue Officer,Company 66,Financial Services,"Lyon, France",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-02,yes,,
lead_0164,GTM Engineer,Company 67,"Technology, Information and Internet","Amsterdam, Netherlands",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-15,yes,,
lead_0165,Co-Founder & CEO,Company 68,"Technology, Information and Internet","New York, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-07,yes,,
lead_0166,Marketing Manager,Company 69,Business Consulting and Services,"Amsterdam, Netherlands",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-17,yes,,
lead_0167,Founder & CEO,Company 70,Business Consulting and Services,"Berlin, Germany",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-04,yes,yes,Meeting booked
lead_0168,Head of Sales,Company 71,Software Development,"London, England, United Kingdom",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-07,no,,
lead_0169,Vice President Growth,Company 72,Marketing Services,"New York, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-21,yes,yes,Interested
lead_0170,Chief Growth Officer,Company 73,Software Development,"Lyon, France",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-24,no,,
lead_0171,Account Executive,Company 74,IT Services and IT Consulting,"London, England, United Kingdom",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-14,yes,,
lead_0172,GTM Engineer,Company 75,Software Development,"Berlin, Germany",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-28,yes,,
lead_0173,Business Developer,Company 76,"Technology, Information and Internet","Berlin, Germany",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-11,no,,
lead_0174,Growth Marketer,Company 77,Software Development,"Toronto, Canada",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-06,no,,
lead_0175,Sales Director,Company 78,Software Development,"Lisbon, Portugal",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-07,no,,
